14180,14189,1.0
14181,14190,1.0
14182,14191,1.0
14183,14192,1.0
14184,14193,1.0
17723,22862,1.0
5581,12978,1.0
5636,25554,1.0
5670,5675,1.0
5670,5684,1.0
5671,5676,1.0
5672,5677,1.0
5673,5678,1.0
5675,5684,1.0
5688,5689,1.0
5688,5690,1.0
5689,5690,1.0
14418,26144,1.0
5696,5697,1.0
5696,29033,1.0
5697,29033,1.0
17995,27397,1.0
5706,5712,1.0
5706,5716,1.0
5706,5720,1.0
5712,5716,1.0
5712,5720,1.0
5714,5718,1.0
5714,5722,1.0
5716,5720,1.0
5718,5722,1.0
14456,21658,1.0
14456,21944,1.0
14465,16168,1.0
8235,8829,1.0
5787,5788,1.0
8253,28572,1.0
8278,8293,1.0
8423,8424,1.0
8432,8434,1.0
14890,14891,1.0
14912,29669,1.0
6082,8806,1.0
14999,15034,1.0
6105,6574,1.0
6107,13447,1.0
6107,13454,1.0
11291,22358,1.0
8671,9213,1.0
15213,15216,1.0
11510,11519,1.0
11511,11520,1.0
11512,11521,1.0
11513,11522,1.0
11514,11523,1.0
11530,11539,1.0
11531,11540,1.0
11532,11541,1.0
11533,11542,1.0
6292,6304,1.0
11546,15548,1.0
11546,29663,1.0
15305,15309,1.0
6407,21655,1.0
9013,11546,1.0
9013,15548,1.0
9013,29663,1.0
15548,29663,1.0
6551,9138,1.0
6551,13437,1.0
6551,13439,1.0
9128,9440,1.0
9138,13437,1.0
9138,13439,1.0
9145,28275,1.0
9145,29412,1.0
9145,29514,1.0
15885,16016,1.0
15915,24608,1.0
9298,9306,1.0
12044,14911,1.0
12073,12584,1.0
15989,15995,1.0
12081,16134,1.0
12107,12365,1.0
12174,12685,1.0
6856,21526,1.0
6881,24693,1.0
6881,26405,1.0
16252,28294,1.0
16304,16305,1.0
6978,21892,1.0
16397,17299,1.0
12425,21448,1.0
16460,16549,1.0
2143,14456,1.0
2143,21658,1.0
2143,21944,1.0
2172,2173,1.0
2175,2176,1.0
12593,12715,1.0
16724,22107,1.0
16724,29059,1.0
16736,27773,1.0
7190,7191,1.0
16793,29200,1.0
12703,24711,1.0
12709,22244,1.0
12709,28724,1.0
12773,12776,1.0
12817,23614,1.0
2415,2417,1.0
2423,4008,1.0
2423,9145,1.0
2423,28275,1.0
2423,29412,1.0
2423,29514,1.0
278,288,1.0
278,290,1.0
288,290,1.0
2576,2578,1.0
2618,16460,1.0
2618,16549,1.0
462,14136,1.0
462,26100,1.0
2766,21926,1.0
2766,25564,1.0
2913,28716,1.0
2913,28959,1.0
2928,3928,1.0
2928,29967,1.0
2980,2987,1.0
2980,2997,1.0
2980,28897,1.0
2987,2997,1.0
2987,28897,1.0
2994,3023,0.972972972972973
2997,28897,1.0
823,1341,1.0
823,1343,1.0
823,1345,1.0
824,825,1.0
824,826,1.0
824,9978,1.0
825,826,1.0
825,9978,1.0
826,9978,1.0
3196,12073,1.0
3196,12584,1.0
3414,3419,1.0
3415,3420,1.0
3506,3511,1.0
3564,13727,1.0
3564,14033,1.0
1341,1343,1.0
1341,1345,1.0
1343,1345,1.0
3647,6532,1.0
1347,3688,1.0
3679,7513,1.0
3679,12771,1.0
1455,15197,1.0
1755,1758,1.0
